"date","away","home","spread","vig","src","updated"
"04/11 01:15 PM","Hawks","Hornets","3.0",-110,"bovada","04/11 09:47 AM"
"04/11 03:15 PM","Celtics","Nuggets","-7.0",-110,"bovada","04/11 09:47 AM"
"04/11 07:15 PM","Pelicans","Cavaliers","7.0",-110,"bovada","04/11 09:47 AM"
"04/11 07:15 PM","Bucks","Magic","8.5",-110,"bovada","04/11 09:47 AM"
"04/11 08:15 PM","Pacers","Grizzlies","-3.0",-115,"bovada","04/11 09:47 AM"
"04/11 08:15 PM","Raptors","Knicks","-2.0",-110,"bovada","04/11 09:47 AM"
"04/11 08:15 PM","Spurs","Mavericks","-6.0",-115,"bovada","04/11 09:47 AM"
"04/11 08:15 PM","Bulls","Timberwolves","4.5",-105,"bovada","04/11 09:47 AM"
"04/11 10:15 PM","Pistons","Clippers","-12.0",-110,"bovada","04/11 09:47 AM"
"04/11 10:15 PM","Heat","Trail Blazers","1.0",-115,"bovada","04/11 09:47 AM"
