date,away,home,spread,vig,src,updated
12/6/2020 13:00,Lions,Bears,-3,-105,bovada,12/6/2020 11:08
12/6/2020 13:00,Bengals,Dolphins,-10,-115,bovada,12/6/2020 11:08
12/6/2020 13:00,Saints,Falcons,3,-130,bovada,12/6/2020 11:08
12/6/2020 13:00,Raiders,Jets,7.5,-110,bovada,12/6/2020 11:08
12/6/2020 13:00,Colts,Texans,3,105,bovada,12/6/2020 11:08
12/6/2020 13:00,Browns,Titans,-4,-110,bovada,12/6/2020 11:08
12/6/2020 13:00,Jaguars,Vikings,-10,-110,bovada,12/6/2020 11:08
12/6/2020 16:05,Rams,Cardinals,2.5,-105,bovada,12/6/2020 11:08
12/6/2020 16:05,Giants,Seahawks,-10.5,-110,bovada,12/6/2020 11:08
12/6/2020 16:25,Patriots,Chargers,-1.5,-115,bovada,12/6/2020 11:08
12/6/2020 16:25,Eagles,Packers,-8,-110,bovada,12/6/2020 11:08
12/6/2020 20:20,Broncos,Chiefs,-13.5,-105,bovada,12/6/2020 11:08
12/7/2020 17:00,Football Team,Steelers,-7,-110,bovada,12/6/2020 11:08
12/7/2020 20:16,Bills,49ers,-1,-105,bovada,12/6/2020 11:08
12/8/2020 20:06,Cowboys,Ravens,-8.5,-110,bovada,12/6/2020 11:08
