"date","away","home","spread","vig","src","updated"
"12/8 8:05 PM","Cowboys","Ravens","-8.5",-110,"bovada","12/8 6:34 PM"
"12/10 8:20 PM","Patriots","Rams","-5.5",-110,"bovada","12/8 6:34 PM"
"12/13 1:00 PM","Texans","Bears","1.0",-110,"bovada","12/8 6:34 PM"
"12/13 1:00 PM","Cowboys","Bengals","3.5",-110,"williamhill_us","12/8 6:34 PM"
"12/13 1:00 PM","Vikings","Buccaneers","-6.5",-115,"bovada","12/8 6:34 PM"
"12/13 1:00 PM","Chiefs","Dolphins","7.5",-115,"bovada","12/8 6:34 PM"
"12/13 1:00 PM","Cardinals","Giants","2.5",-112,"draftkings","12/8 6:34 PM"
"12/13 1:00 PM","Titans","Jaguars","7.5",-115,"bovada","12/8 6:34 PM"
"12/13 1:00 PM","Broncos","Panthers","-3.5",-112,"draftkings","12/8 6:34 PM"
"12/13 4:05 PM","Colts","Raiders","2.5",-105,"bovada","12/8 6:34 PM"
"12/13 4:05 PM","Jets","Seahawks","-13.5",-110,"bovada","12/8 6:34 PM"
"12/13 4:25 PM","Football Team","49ers","-3.5",100,"bovada","12/8 6:34 PM"
"12/13 4:25 PM","Falcons","Chargers","2.5",-110,"bovada","12/8 6:34 PM"
"12/13 4:25 PM","Saints","Eagles","7.0",-115,"bovada","12/8 6:34 PM"
"12/13 4:25 PM","Packers","Lions","7.5",-110,"bovada","12/8 6:34 PM"
"12/13 8:20 PM","Steelers","Bills","-2.5",-110,"bovada","12/8 6:34 PM"
"12/14 8:15 PM","Ravens","Browns","0.0",-110,"williamhill_us","12/8 6:34 PM"
