"date","away","home","spread","vig","src","updated"
"01/22 07:10 PM","Bulls","Hornets","-3.0",-110,"bovada","01/22 04:39 PM"
"01/22 07:10 PM","Magic","Pacers","-4.0",-115,"bovada","01/22 04:39 PM"
"01/22 07:10 PM","Rockets","Pistons","-3.0",-105,"bovada","01/22 04:39 PM"
"01/22 07:40 PM","Celtics","76ers","-4.5",-110,"bovada","01/22 04:39 PM"
"01/22 07:40 PM","Nets","Cavaliers","6.5",-105,"bovada","01/22 04:39 PM"
"01/22 07:40 PM","Heat","Raptors","-2.0",-115,"bovada","01/22 04:39 PM"
"01/22 08:10 PM","Hawks","Timberwolves","6.0",-110,"bovada","01/22 04:39 PM"
"01/22 08:40 PM","Mavericks","Spurs","2.0",-110,"bovada","01/22 04:39 PM"
"01/22 10:10 PM","Knicks","Kings","-4.5",-110,"bovada","01/22 04:39 PM"
"01/22 10:10 PM","Thunder","Lakers","-13.0",-110,"bovada","01/22 04:39 PM"
"01/22 10:10 PM","Nuggets","Suns","-1.0",-110,"bovada","01/22 04:39 PM"
